Status,ActivityCompleted,nps_score,Comments,Sentiment,Device Type,Browser
Complete,2022-09-01T02:17:52Z,1,,,Mobile,Safari mobile
Complete,2022-09-01T02:30:00Z,5,,,Mobile,Safari mobile
Complete,2022-09-01T02:30:26Z,5,,,Mobile,Safari mobile
Complete,2022-09-01T02:32:59Z,4,I,Neutral,Mobile,Safari mobile
Complete,2022-09-01T02:37:14Z,5,,,Desktop,Chrome
Complete,2022-09-01T02:44:49Z,1,"After 2-3 selections on the sight, I get a traffic cone icon that says wires must be crossed and cannot further use the website.",Negative,Desktop,Safari
Complete,2022-09-01T02:45:53Z,5,,,Mobile,Chrome Mobile
Complete,2022-09-01T02:53:26Z,5,Ease of use,Positive,Desktop,Chrome
Complete,2022-09-01T02:53:29Z,1,It is notpading,Negative,Mobile,Safari mobile
Complete,2022-09-01T03:20:20Z,1,,,Desktop,Microsoft Edge
Complete,2022-09-01T03:33:03Z,4,,,Mobile,Safari mobile
Complete,2022-09-01T03:33:17Z,2,Errors over and over.  Password reset failed to send email or text. Just not a good experience.,Negative,Mobile,Mobile Samsung Browser
Complete,2022-09-01T03:37:01Z,1,it takes forever to load a page,Negative,Desktop,Chrome
Complete,2022-09-01T03:37:13Z,1,errors on website. could not load,Negative,Desktop,Chrome
Complete,2022-09-01T03:38:26Z,5,,,Mobile,Chrome Mobile
Complete,2022-09-01T04:12:45Z,5,,,Mobile,Safari mobile
Complete,2022-09-01T04:48:39Z,5,Information loaded. I had no questions in my mind that were unanswered,Positive,Mobile,Chrome Mobile
Complete,2022-09-01T05:32:11Z,5,Excellent website. Very informative and easy to use.,Positive,Mobile,Safari mobile
Complete,2022-09-01T06:33:47Z,1,I cannot connect to my account!!!,Negative,Desktop,Microsoft Edge
Complete,2022-09-01T07:58:04Z,5,,,Mobile,Safari mobile
Complete,2022-09-01T08:32:30Z,1,,,Desktop,Chrome
Complete,2022-09-01T09:30:20Z,1,,,Mobile,Chrome Mobile
Complete,2022-09-01T10:47:52Z,5,,,Mobile,Safari mobile
Complete,2022-09-01T10:52:10Z,5,Yellow and green are cool looking,Positive,Desktop,Safari
Complete,2022-09-01T10:58:32Z,5,,,Mobile,Safari mobile
Complete,2022-09-01T11:32:21Z,3,it's very slow,Negative,Desktop,Microsoft Edge
Complete,2022-09-01T11:40:48Z,5,Easy to navigate,Positive,Mobile,Safari mobile
Complete,2022-09-01T11:43:32Z,3,A stupid high price for delivery fee!!!,Negative,Mobile,Safari mobile
Complete,2022-09-01T11:46:03Z,1,the system goes down way too much,Negative,Desktop,Chrome
Complete,2022-09-01T11:52:09Z,3,The reason is because of the change in the invoicing area from long ago.,Neutral,Desktop,Chrome
Complete,2022-09-01T11:52:33Z,1,very slow,Negative,Desktop,Chrome
Complete,2022-09-01T11:53:05Z,1,too crowded. banners too big,Negative,Desktop,Chrome
Complete,2022-09-01T11:54:02Z,2,Could not get rental price and web site was bouncing all over the place🤮,Negative,Mobile,Safari mobile
Complete,2022-09-01T11:55:05Z,1,cannot check out,Neutral,Desktop,Microsoft Edge
Complete,2022-09-01T11:56:00Z,5,,,Mobile,Safari mobile
Complete,2022-09-01T11:59:37Z,4,user friendly,Positive,Desktop,Microsoft Edge
Complete,2022-09-01T12:03:29Z,2,Works part of the time.,Positive,Desktop,Chrome
Complete,2022-09-01T12:05:14Z,2,"Slow, works 50% of the time",Negative,Desktop,Chrome
Complete,2022-09-01T12:08:51Z,1,,,Desktop,Chrome
Complete,2022-09-01T12:12:05Z,5,Always usefull,Positive,Desktop,Microsoft Edge
Complete,2022-09-01T12:14:43Z,1,Sunbelt's website advertises items which Sunbelt does not carry nationwide. Why waste the customer's time?,Negative,Desktop,Chrome
Complete,2022-09-01T12:15:00Z,5,,,Desktop,Chrome
Complete,2022-09-01T12:15:03Z,1,Because it's not user freindly,Neutral,Desktop,Chrome
Complete,2022-09-01T12:19:10Z,3,could be a little easier finding certain equipment under different names,Negative,Desktop,Microsoft Edge
Complete,2022-09-01T12:24:15Z,1,didnt work,Negative,Desktop,Chrome
Complete,2022-09-01T12:25:42Z,5,Easy site to navigate. My rep William Verburg was able to train me on how to use most of the options via phone in 15 minutes (He's AWESOME by the Way).  And downloads are fast and accurate.  Its a great platform.  Thanks!,Positive,Desktop,Microsoft Edge
Complete,2022-09-01T12:26:36Z,2,It keeps crashing and I can't add a job site/address to add equipment to the cart.,Negative,Desktop,Microsoft Edge
Complete,2022-09-01T12:28:21Z,5,,,Desktop,Chrome
Complete,2022-09-01T12:28:39Z,5,,,Desktop,Chrome
Complete,2022-09-01T12:35:53Z,1,Horrible UI,Negative,Desktop,Chrome
Complete,2022-09-01T12:38:41Z,5,easy to use,Positive,Desktop,Chrome
Complete,2022-09-01T12:41:21Z,5,Easy to use,Positive,Mobile,Google App
Complete,2022-09-01T12:44:55Z,1,Invoices never load properly. Everyday its something different ever since we changed the old website.  Payments say incomplete but they do end of going through after looking at Wynne.,Negative,Desktop,Chrome
Complete,2022-09-01T12:52:43Z,5,IT IS VERY EASY TO UNDERSTAND AND WORKS GREAT ONCE I CAN SEE MY RATES ETC,Positive,Desktop,Chrome
Complete,2022-09-01T12:56:16Z,5,I assume that 5 was the best score. The web site is very user friendly. and a helpful  tool.,Positive,Desktop,Firefox
Complete,2022-09-01T12:57:49Z,5,,,Mobile,Mobile Samsung Browser
Complete,2022-09-01T13:01:23Z,1,,,Desktop,Chrome
Complete,2022-09-01T13:05:17Z,4,,,Mobile,Safari mobile
Complete,2022-09-01T13:06:03Z,5,,,Desktop,Microsoft Edge
Complete,2022-09-01T13:06:25Z,1,it's not user friendly.,Negative,Desktop,Chrome
Complete,2022-09-01T13:09:55Z,4,could be a bit easier to navigate,Negative,Desktop,Chrome
Complete,2022-09-01T13:12:14Z,5,,,Mobile,Chrome Mobile
Complete,2022-09-01T13:12:34Z,1,The quick quote online is bullshit. Was $400 more down the line. Bait and switch.,Negative,Desktop,Chrome
Complete,2022-09-01T13:13:56Z,1,nothing is loading,Negative,Desktop,Microsoft Edge
Complete,2022-09-01T13:15:37Z,4,,,Desktop,Chrome
Complete,2022-09-01T13:16:52Z,2,because before the update it was a lot easier than this new update,Mixed,Desktop,Chrome
Complete,2022-09-01T13:23:42Z,1,"Typos, Menus doesn't work half the time, whole site just randomly crashes, prices don't match with what locations advertise.",Negative,Desktop,Chrome
Complete,2022-09-01T13:28:05Z,5,USER FRIENDLY,Positive,Desktop,Chrome
Complete,2022-09-01T13:30:40Z,5,,,Desktop,Chrome
Complete,2022-09-01T13:32:25Z,5,"You guys have the trailers I need, I can easily find what I am looking for. I only wish that It said the width of the trailer so I know if my equiptment would fit",Mixed,Desktop,Chrome
Complete,2022-09-01T13:32:30Z,1,rarely works or works properly,Negative,Desktop,Chrome
Complete,2022-09-01T13:37:01Z,4,I would like to be able to include other peoples email to the reservation as a form of notifying them the reservation has been made.,Negative,Desktop,Chrome
Complete,2022-09-01T13:39:37Z,1,,,Desktop,Chrome
Complete,2022-09-01T13:39:53Z,1,VERY SLOW,Negative,Desktop,Chrome
Complete,2022-09-01T13:40:23Z,5,Always helpful,Positive,Desktop,Chrome
Complete,2022-09-01T13:47:13Z,5,easy navigation,Positive,Desktop,Microsoft Edge
Complete,2022-09-01T13:48:41Z,1,Does not work on chrome for employees,Negative,Desktop,Microsoft Edge
Complete,2022-09-01T13:49:09Z,3,There is too much lag. When someone clicks on items sometimes it never loads and the search bar window disappears and can be very frustrating to a customer. If the website becomes smoother it would be perfect. Also noticed some items don't have any descriptions or very short.,Negative,Desktop,Chrome
Complete,2022-09-01T13:53:05Z,5,,,Desktop,Chrome
Complete,2022-09-01T13:53:06Z,5,easy to navigate,Positive,Desktop,Chrome
Complete,2022-09-01T13:53:09Z,5,Excellent service!,Positive,Mobile,Safari mobile
Complete,2022-09-01T13:53:37Z,5,,,Desktop,Chrome
Complete,2022-09-01T13:54:00Z,5,,,Mobile,Safari mobile
Complete,2022-09-01T14:00:49Z,5,,,Desktop,Chrome
Complete,2022-09-01T14:03:00Z,5,,,Desktop,Chrome
Complete,2022-09-01T14:03:17Z,4,Errors out frequently and response time is slow when processing,Negative,Desktop,Chrome
Complete,2022-09-01T14:05:42Z,1,,,Desktop,Chrome
Complete,2022-09-01T14:05:51Z,5,Explains everything very well,Positive,Mobile,Safari mobile
Complete,2022-09-01T14:06:40Z,4,,,Desktop,Chrome
Complete,2022-09-01T14:09:28Z,5,,,Desktop,Chrome
Complete,2022-09-01T14:17:58Z,3,,,Mobile,Safari mobile
Complete,2022-09-01T14:20:53Z,1,"if I could give it a 0 I would, the invoices on the page load very very slow",Negative,Desktop,Chrome
Complete,2022-09-01T14:23:34Z,1,"I had a rental confirmed delivery , set up 8-10 am , put in card and confirmed and they have all of that but not the reservation so I dont have the equipment to complete the job on my deadline",Neutral,Mobile,Safari mobile
Complete,2022-09-01T14:24:47Z,1,,,Desktop,Chrome
Complete,2022-09-01T14:27:32Z,5,,,Desktop,Chrome
Complete,2022-09-01T14:29:32Z,4,,,Desktop,Chrome
Complete,2022-09-01T14:33:25Z,1,,,Mobile,Safari mobile
Complete,2022-09-01T14:38:57Z,1,,,Desktop,Chrome
Complete,2022-09-01T14:42:54Z,1,,,Desktop,Chrome
Complete,2022-09-01T14:43:06Z,2,"extremely slow, 'site not available, have to clear browsing history, times out, receiving receipts not dependable",Negative,Desktop,Chrome
Complete,2022-09-01T14:44:09Z,5,,,Mobile,Safari mobile
Complete,2022-09-01T14:48:49Z,1,SUPER LAGGY,Negative,Desktop,Chrome
Complete,2022-09-01T14:51:47Z,5,functionality.,Positive,Desktop,Chrome
Complete,2022-09-01T14:52:40Z,1,"Invoice Page frequently does not load.  It just stops with the processing wheel ""Preparing your Invoices...""",Negative,Desktop,Chrome
Complete,2022-09-01T14:53:02Z,4,There's no option to request waivers directly from here.,Negative,Desktop,Chrome
Complete,2022-09-01T14:53:43Z,1,"I'M TRYING TO RESET PASSWORD. I'M NOT RECEIVING THE EMAIL I'VE REQUESTED SEVERAL TIMES, BUT WHEN I TRY TO MAKE A NEW ACCOUNT, IT SAYS MINE ALREADY EXISTS.",Negative,Desktop,Chrome
Complete,2022-09-01T14:54:10Z,4,"It is very easy to use which is great, but I still don't quite understand the difference between Job Sites, Equipment, and Reservations. Not a huge deal as I eventually find what I need, but it seems a little confusing.",Mixed,Desktop,Chrome
Complete,2022-09-01T14:55:05Z,2,there seems to issues a lot and surprise changes unaware of til trying to use it. Like the dates above invoice amounts no longer default a year but 120 days making one think older invoices are not listed,Negative,Desktop,Chrome
Complete,2022-09-01T14:56:05Z,1,It seems like something is always wrong with the website - and it is extremely frustrating.,Negative,Desktop,Chrome
Complete,2022-09-01T14:57:03Z,3,,,Desktop,Chrome
Complete,2022-09-01T15:03:37Z,5,,,Mobile,Safari mobile
Complete,2022-09-01T15:06:23Z,3,delay's when requests are made,Negative,Desktop,Chrome
Complete,2022-09-01T15:12:41Z,4,,,Desktop,Chrome
Complete,2022-09-01T15:13:34Z,1,"won't load, can't find the info I'm lookimg for",Negative,Desktop,Chrome
Complete,2022-09-01T15:31:42Z,5,,,Mobile,Safari mobile
Complete,2022-09-01T15:32:18Z,5,,,Desktop,Chrome
Complete,2022-09-01T15:40:44Z,4,always room for improvement,Positive,Desktop,Chrome
Complete,2022-09-01T15:42:59Z,5,,,Desktop,Chrome
Complete,2022-09-01T15:49:20Z,3,,,Desktop,Chrome
Complete,2022-09-01T15:51:20Z,5,Not complicated to fill out,Positive,Desktop,Microsoft Edge
Complete,2022-09-01T15:55:32Z,5,,,Mobile,Safari mobile
Complete,2022-09-01T15:56:58Z,5,Site is super easy to use,Positive,Desktop,Chrome
Complete,2022-09-01T15:58:45Z,5,,,Mobile,Safari mobile
Complete,2022-09-01T16:13:49Z,1,Very slow loading and it crashes my computer,Negative,Desktop,Chrome
Complete,2022-09-01T16:16:45Z,4,Quick response,Positive,Mobile,Chrome Mobile
Complete,2022-09-01T16:21:15Z,5,,,Desktop,Chrome
Complete,2022-09-01T16:22:12Z,5,Easy to use,Positive,Mobile,Safari mobile
Complete,2022-09-01T16:22:50Z,4,Website prices are higher than calling and getting a quote for the same equipment. Makes the website purchasing system and pricing seem like a rip off for the convenience.,Negative,Desktop,Chrome
Complete,2022-09-01T16:23:17Z,2,Site not loading or providing accessible invoices,Negative,Desktop,Chrome
Complete,2022-09-01T16:30:04Z,2,,,Desktop,Chrome
Complete,2022-09-01T16:31:14Z,1,the new website sucks,Negative,Desktop,Microsoft Edge
Complete,2022-09-01T16:31:15Z,5,,,Desktop,Chrome
Complete,2022-09-01T16:33:35Z,1,Consistent issues,Negative,Desktop,Chrome
Complete,2022-09-01T16:34:18Z,5,its easy to figure out what you want!,Positive,Desktop,Chrome
Complete,2022-09-01T16:35:01Z,5,my strategic team is awsome,Positive,Desktop,Chrome
Complete,2022-09-01T16:35:11Z,4,,,Desktop,Chrome
Complete,2022-09-01T16:35:22Z,5,,,Desktop,Chrome
Complete,2022-09-01T16:35:36Z,4,It seems easy to navigate and order but I'm still in the process and not sure how it will all turn out.,Mixed,Desktop,Firefox
Complete,2022-09-01T16:41:32Z,2,"System slow, receipts not being received and customers are calling complaining about online system with same issues.",Negative,Desktop,Chrome
Complete,2022-09-01T16:43:29Z,5,,,Desktop,Chrome
Complete,2022-09-01T16:47:22Z,2,Slow responce,Negative,Mobile,Mobile Samsung Browser
Complete,2022-09-01T16:50:45Z,5,Very Easy to use and navigate,Positive,Desktop,Chrome
Complete,2022-09-01T16:51:19Z,5,Great and efficient customer service!,Positive,Desktop,Microsoft Edge
Complete,2022-09-01T16:52:20Z,2,Still having sign in issues all this week.,Negative,Desktop,Chrome
Complete,2022-09-01T16:56:04Z,5,Quick response,Positive,Mobile,Google App
Complete,2022-09-01T16:57:33Z,5,Because I’ve never had a problem and when I did they always took care of it,Positive,Mobile,Google App
Complete,2022-09-01T16:59:07Z,1,my account has been disabled,Neutral,Desktop,Chrome
Complete,2022-09-01T16:59:08Z,4,,,Mobile,Chrome Mobile
Complete,2022-09-01T17:00:31Z,1,credits should not be applied behind the scenes and should be available for the customer to apply as they process payments.,Negative,Desktop,Chrome
Complete,2022-09-01T17:01:32Z,2,Looping several times before accepting address,Negative,Mobile,Chrome Mobile
Complete,2022-09-01T17:05:05Z,1,,,Desktop,Chrome
Complete,2022-09-01T17:05:27Z,4,,,Desktop,Chrome
Complete,2022-09-01T17:09:01Z,5,Easy to find information,Positive,Desktop,Chrome
Complete,2022-09-01T17:13:31Z,1,there is no receipt of payment,Negative,Desktop,Chrome
Complete,2022-09-01T17:15:45Z,5,,,Desktop,Microsoft Edge
Complete,2022-09-01T17:17:39Z,5,Very simple to navigate,Positive,Mobile,Safari mobile
Complete,2022-09-01T17:18:36Z,1,VERY SLOW,Negative,Desktop,Chrome
Complete,2022-09-01T17:26:14Z,5,,,Desktop,Chrome
Complete,2022-09-01T17:28:37Z,3,sometimes it freezes up and doesn't work,Negative,Desktop,Chrome
Complete,2022-09-01T17:30:28Z,5,Quick and easy website to navigate,Positive,Desktop,Chrome
Complete,2022-09-01T17:31:25Z,5,Stephany Gailey is the best.,Positive,Desktop,Chrome
Complete,2022-09-01T17:32:21Z,2,slow,Negative,Desktop,Chrome
Complete,2022-09-01T17:32:32Z,5,Because you are the best!,Positive,Desktop,Chrome
Complete,2022-09-01T17:32:57Z,5,,,Desktop,Chrome
Complete,2022-09-01T17:32:58Z,1,"slow, takes 7 minutes to load info on equipment i need specs on",Negative,Desktop,Chrome
Complete,2022-09-01T17:34:47Z,1,"very slow - not user friendly at all
it is down more than it is up and customers are extremely frustrated",Negative,Desktop,Chrome
Complete,2022-09-01T17:35:19Z,5,,,Desktop,Safari
Complete,2022-09-01T17:36:05Z,5,EASY,Positive,Desktop,Chrome
Complete,2022-09-01T17:42:35Z,5,"Very helpful with prices and pictures, could add 4 hour rates.",Positive,Desktop,Chrome
Complete,2022-09-01T17:46:22Z,5,,,Mobile,Safari mobile
Complete,2022-09-01T17:49:58Z,5,,,Desktop,Chrome
Complete,2022-09-01T17:50:21Z,3,"I like my rep. He's attentive and takes action.
However the recent vehicles we have reserved showed up late and were picked up late. So first we burned valuable time on the jobsite. And then we had clients complaining about the giant vehicle left in their driveway for days.",Mixed,Desktop,Chrome
Complete,2022-09-01T17:50:57Z,5,ease of use,Positive,Desktop,Microsoft Edge
Complete,2022-09-01T17:53:37Z,5,,,Desktop,Chrome
Complete,2022-09-01T17:55:04Z,2,because i have to log in everytime i want to look at a customer- and i don't like that i have to adjust the review date everytime,Negative,Desktop,Chrome
Complete,2022-09-01T17:55:11Z,1,it takes too long to load info & constantly kicks me out. I have to renter all my info each time it kicks me out,Negative,Desktop,Chrome
Complete,2022-09-01T17:55:18Z,5,,,Mobile,Chrome Mobile
Complete,2022-09-01T17:55:51Z,1,The portal is too slow customers are complaining and they are stating that we make it hard to do business with.,Negative,Desktop,Chrome
Complete,2022-09-01T17:55:53Z,2,Horrible.,Negative,Desktop,Safari
Complete,2022-09-01T17:59:31Z,5,,,Mobile,Safari mobile
Complete,2022-09-01T18:00:37Z,4,,,Desktop,Microsoft Edge
Complete,2022-09-01T18:00:57Z,5,Prior dealings and ease navigating web site,Neutral,Desktop,Safari
Complete,2022-09-01T18:01:03Z,1,Horrible service bad machines,Negative,Mobile,Safari mobile
Complete,2022-09-01T18:04:41Z,5,Quick & easy! Mark was helpful.,Positive,Desktop,Chrome
Complete,2022-09-01T18:10:43Z,5,,,Desktop,Chrome
Complete,2022-09-01T18:11:07Z,5,,,Desktop,Safari
Complete,2022-09-01T18:15:38Z,5,,,Mobile,Safari mobile
Complete,2022-09-01T18:18:59Z,1,asking for my vendor #- i need YOUR tax exempt form; dont have your vendor # for me,Negative,Desktop,Firefox
Complete,2022-09-01T18:24:40Z,5,Ease of use,Positive,Desktop,Chrome
Complete,2022-09-01T18:32:03Z,5,excellent website...easy to navigate,Positive,Desktop,Chrome
Complete,2022-09-01T18:33:04Z,5,EASY TO USE,Positive,Desktop,Chrome
Complete,2022-09-01T18:33:30Z,5,,,Desktop,Chrome
Complete,2022-09-01T18:39:09Z,1,THERE SHOULD BE A LABEL LETTING THE CUSTOMERS KNOW WEBSITE GIVES NATION WIDE AND NOT A SPECIFIC LOCATION.,Negative,Desktop,Chrome
Complete,2022-09-01T18:39:47Z,1,,,Desktop,Microsoft Edge
Complete,2022-09-01T18:40:07Z,4,Unfamiliar with it so can fully rate 5 but so far so good,Positive,Mobile,Chrome Mobile
Complete,2022-09-01T18:40:14Z,1,Cant get the system to take my rental,Negative,Desktop,Chrome
Complete,2022-09-01T18:42:05Z,3,,,Desktop,Chrome
Complete,2022-09-01T18:42:10Z,1,,,Mobile,Chrome Mobile
Complete,2022-09-01T18:42:31Z,1,"if i need to go back and fix something,  the website will completely re-load and i loose all info. entered previously",Negative,Desktop,Chrome
Complete,2022-09-01T18:45:28Z,4,A little slow and little hard to figure out,Negative,Mobile,Google App
Complete,2022-09-01T18:54:06Z,1,Can’t find locations where I know there is a facility,Negative,Desktop,Safari
Complete,2022-09-01T18:54:44Z,5,,,Mobile,Safari mobile
Complete,2022-09-01T18:58:49Z,5,,,Desktop,Chrome
Complete,2022-09-01T19:00:51Z,5,"Would like a direct line phone number for Store # 5110 at Walmart 6192 Gunn Hwy, Tampa, however!",Neutral,Desktop,Microsoft Edge
Complete,2022-09-01T19:02:13Z,1,"Won't show me what location the trencher is at. I called the store (505) and they said you don't carry anything that small, even though it's on your website.",Negative,Desktop,Chrome
Complete,2022-09-01T19:07:37Z,5,,,Desktop,Chrome
Complete,2022-09-01T19:10:52Z,1,wanted to see locations listed in northern alberta,Neutral,Desktop,Chrome
Complete,2022-09-01T19:12:59Z,2,payment receipts are not being sent after each payment from yesterday 8/31 & other c/c payment today.,Neutral,Desktop,Chrome
Complete,2022-09-01T19:14:06Z,5,Thanks,Positive,Desktop,Safari
Complete,2022-09-01T19:17:19Z,4,,,Desktop,Chrome
Complete,2022-09-01T19:19:07Z,4,could use some improvements,Negative,Desktop,Chrome
Complete,2022-09-01T19:19:21Z,1,the website sucks!  I have to use my phone to make a reservation,Negative,Desktop,Microsoft Edge
Complete,2022-09-01T19:19:30Z,5,Easy to use and everything I need is on it,Positive,Desktop,Chrome
Complete,2022-09-01T19:26:03Z,3,,,Mobile,Safari mobile
Complete,2022-09-01T19:28:24Z,5,great website,Positive,Desktop,Microsoft Edge
Complete,2022-09-01T19:29:41Z,1,"I have to constantly clear cookies to log in, it runs slow on processing payments, not receiving receipts, and complaints from customers that command center is down.",Negative,Desktop,Chrome
Complete,2022-09-01T19:31:31Z,5,,,Mobile,Safari mobile
Complete,2022-09-01T19:32:08Z,5,,,Mobile,Google App
Complete,2022-09-01T19:32:59Z,1,because it is extremely slow now. It frequently doesn't work. here is an example it took ten minutes to log on and to run a credit card payment for a customer this morning. you think the customer was happy. i can tell you he was not. this is a constant problem.,Negative,Desktop,Chrome
Complete,2022-09-01T19:33:54Z,1,Poor rating because your weekly price isn't correct. compared to cart price (??????),Negative,Desktop,Safari
Complete,2022-09-01T19:34:45Z,1,,,Desktop,Microsoft Edge
Complete,2022-09-01T19:36:26Z,2,It's way too slow,Negative,Desktop,Chrome
Complete,2022-09-01T19:38:16Z,5,,,Desktop,Chrome
Complete,2022-09-01T19:38:33Z,1,"it is always going down, not getting the receipts when a payment is made.",Negative,Desktop,Chrome
Complete,2022-09-01T19:39:05Z,5,,,Desktop,Chrome
Complete,2022-09-01T19:43:56Z,1,NOTHING BUT PROBLEM AFTER PROBLEM,Mixed,Desktop,Chrome
Complete,2022-09-01T19:43:58Z,4,it would be nice to be able to edit or change jobsite within command center. Also it would  be nice to be able to alphabetize the favorites.,Mixed,Desktop,Chrome
Complete,2022-09-01T19:52:40Z,5,,,Desktop,Chrome
Complete,2022-09-01T19:57:08Z,2,"made it seem like the rental i needed was at the store in town, until i got to check out and the closest location was an hour away.",Negative,Desktop,Chrome
Complete,2022-09-01T19:58:48Z,2,local store doesnt show as available in check out.,Negative,Desktop,Chrome
Complete,2022-09-01T20:05:58Z,2,pages become non-responsive,Negative,Desktop,Chrome
Complete,2022-09-01T20:06:35Z,5,"Great company, Josh always makes it happen, one way or another.",Positive,Desktop,Firefox
Complete,2022-09-01T20:08:49Z,1,It wouldn't price the equipment,Negative,Mobile,Chrome Mobile
Complete,2022-09-01T20:09:45Z,5,,,Mobile,Safari mobile
Complete,2022-09-01T20:11:19Z,5,,,Desktop,Opera
Complete,2022-09-01T20:15:31Z,5,friendly service,Positive,Desktop,Chrome
Complete,2022-09-01T20:17:20Z,5,I can suddenly run my account from my computer again! 1st time since last systems upgrade. I hope it continues to run well.,Positive,Desktop,Chrome
Complete,2022-09-01T20:29:31Z,1,,,Desktop,Microsoft Edge
Complete,2022-09-01T20:33:25Z,5,,,Mobile,Safari mobile
Complete,2022-09-01T20:35:44Z,4,Would like a little more detail on the rentals,Negative,Mobile,Chrome Mobile
Complete,2022-09-01T20:38:06Z,5,"Nice counter person, sarge was his name and he made renting the equipment easy",Positive,Mobile,Safari mobile
Complete,2022-09-01T20:39:06Z,5,,,Mobile,Safari mobile
Complete,2022-09-01T20:40:18Z,5,Great service and always have what is needed,Positive,Mobile,Safari mobile
Complete,2022-09-01T20:41:45Z,3,The biggest issue I feel is I have to refresh the page quite a bit and I do not receive a lot of the payment confirmations. Thank you.,Negative,Desktop,Chrome
Complete,2022-09-01T20:42:42Z,1,,,Mobile,Safari mobile
